Tweet Id;Text;Name;Screen Name;Created At;Favorites;Retweets;Language;Client;Tweet Type;Media Type;URLs;Hashtags;Mentions
841717292899676161;Hello World!!;Osh-Tekk Warriors;OshTekkWarriors;Tue Mar 14 18:26:55 +0000 2017;2;3;English;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Tweet;;0;0;0
848651508245725187;#NewProfilePic https://t.co/I6OQZizG5A;Osh-Tekk Warriors;OshTekkWarriors;Sun Apr 02 21:41:01 +0000 2017;4;2;Undetermined;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;1;0
848652953401643010;Today was an amazing day to play in 2 Tournaments. ??;Osh-Tekk Warriors;OshTekkWarriors;Sun Apr 02 21:46:45 +0000 2017;12;6;English;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;0
848653960776908807;In PLG TOURNAMENT, @OshTekkWarriors Vs @cocodrilosgg , ended up with a victory for OshTekkWarriors 2-1 GGWP;Osh-Tekk Warriors;OshTekkWarriors;Sun Apr 02 21:50:46 +0000 2017;12;5;English;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;2
848688552607141889;«·ÌÊ„ Ê ··Â «·Õ„œ Õﬁﬁ‰« ›Ê“ „Â„ ⁄·Ï ›—Ìﬁ @cocodrilosgg ›Ì »ÿÊ·Â PLG Ê «·ﬁ«œ„ «›÷· ??@TEXY0 @Ma6Rix @KssarPlayz @Finish_kh @S4MODY @VisT0Playz;Osh-Tekk Warriors;OshTekkWarriors;Mon Apr 03 00:08:13 +0000 2017;0;7;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;;0;0;4
849239900100677632;"Sixtuble Kill ! ???? /w @KssarPlayz 
#Nothing_New_Baby https://t.co/olPwqylTl8";Osh-Tekk Warriors;OshTekkWarriors;Tue Apr 04 12:39:04 +0000 2017;0;49;English;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;Video;0;1;1
849318668479680512;@cocodrilosgg @VisT0Playz @plgbuzz  https://t.co/9vKNrXd61I;Osh-Tekk Warriors;OshTekkWarriors;Tue Apr 04 17:52:04 +0000 2017;9;6;Undetermined;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Reply;GIF;0;0;2
849644113263767553;«·ÌÊ„ «·”«⁄Â ? » ÊﬁÌ  «·”⁄ÊœÌÂ ÕÌ«ﬂ„ »„»«— ‰« »»ÿÊ·… @plgbuzz —Ì ÊÌ  «–« » ÃÌ  ?? https://t.co/ChNoVqZA7g https://t.co/2zOjQ6HIj2;Osh-Tekk Warriors;OshTekkWarriors;Wed Apr 05 15:25:16 +0000 2017;13;19;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;GIF;1;0;1
849689773237317636;«·ÌÊ„ »‰”»… ·„»«—«… ›—Ìﬁ @OshTekkWarriors ÷œ ›—Ìﬁ Saudi 6 «⁄ –— ›—Ìﬁ Saudi 6 ⁄‰ «·„»«—«… Ê Ì⁄ »— «‰ ’«— ·›—Ìﬁ @OshTekkWarriors @plgbuzz;Osh-Tekk Warriors;OshTekkWarriors;Wed Apr 05 18:26:43 +0000 2017;12;15;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;3
849689950530547721;«·ÌÊ„ »‰”»… ·„»«—«… ›—Ìﬁ @OshTekkWarriors ÷œ ›—Ìﬁ Saudi 6 «⁄ –— ›—Ìﬁ Saudi 6 ⁄‰ «·„»«—«… Ê Ì⁄ »— «‰ ’«— ·›—Ìﬁ @OshTekkWarriors @plgbuzz;Osh-Tekk Warriors;OshTekkWarriors;Wed Apr 05 18:27:25 +0000 2017;0;15;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;;0;0;3
