Tweet Id;Text;Name;Screen Name;Created At;Favorites;Retweets;Language;Client;Tweet Type;Media Type;URLs;Hashtags;Mentions
1120785197082058752;"Our Legend ARTURIOOO1919 (@1oco19) has achieved FIFA19 ULTIMATE TEAM CUP By egltv 
Designed by : @2013_hyoonh https://t.co/XNhUeZlauy";Rwiz E-Sports;RwizeSports;Tue Apr 23 20:23:08 +0000 2019;13;5;English;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;0;2
1120785794988429313;"Ì”⁄œ‰« √‰ ‰⁄·‰ ⁄‰ › Õ »«» «·«‰÷„«„ ··⁄»… #apexlegends 
#rwizesports 
Instagram : RwizeSports
Twitter : RwizeSport
Twittch : RwizeSports
YouTube : RwizeSports https://t.co/eT1NSyszL6";Rwiz E-Sports;RwizeSports;Tue Apr 23 20:25:31 +0000 2019;14;6;Catalan;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;2;0
1120786287693377536;"Our Legend ARTURIOOO1919 ( @1oco19 ) has achieved #FIFA19 knockout cup By : @megltv For the second time in a row
Congratulations for him ??????
#rwizesports 
Instagram : RwizeSports
Twitter : RwizeSport
YouTube : RwizeSports 
Twitch : RwizeSports 
Designed by : @2013_hyoonh https://t.co/2hRAVYnWtF";Rwiz E-Sports;RwizeSports;Tue Apr 23 20:27:28 +0000 2019;21;18;English;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;2;3
1121565384342216704;"The Official Rwiz E-Sports T-Shirt 
Designed by : AL8ASM  
#RwizeSports 
Twitter : RwizeSports
YouTube : RwizeSprots
Twittch : RwizeSports 
@SAFEISKSA @turkialfawzan @Turki_alalshikh @Saad_Alsmari https://t.co/qgJybfckUb";Rwiz E-Sports;RwizeSports;Fri Apr 26 00:03:19 +0000 2019;18;16;English;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;1;4
1122959643112890374;"‰Õ‰ ”⁄œ«¡ »«·≈⁄·«‰ »√‰ «·«‰÷„«„ ﬂ≈œ«—Ì ··›—Ìﬁ „ «Õ «·¬‰ . ( ≈œ«—Ì ⁄«„ - ≈œ«—Ì ·›—Ìﬁ ) 
«–« ﬂ«‰ Â‰«ﬂ √Ì ‘Œ’ ·œÌÂ «·ﬁœ—… Ê«·„”ƒÊ·Ì… ⁄·Ï √‰ ÌﬂÊ‰ ≈œ«—Ì Ê„” ⁄œ ··«‰÷„«„ ≈·Ï „‰Ÿ„ ‰« ° Ì„ﬂ‰Â / Ì„ﬂ‰Â« «· Ê«’· „⁄‰« ⁄·Ï «·—”«∆· «·Œ«’… .
#RwizeSports https://t.co/3r6gKEpo4P";Rwiz E-Sports;RwizeSports;Mon Apr 29 20:23:37 +0000 2019;18;17;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;1;0
1125206598211854336;"√⁄÷«¡ Rwiz E-Sports ÌÂ‰∆Ê‰ﬂ„ »„‰«”»… Õ·Ê· ‘Â— —„÷«‰ «·ﬂ—Ì„ √⁄«œÂ «··Â ⁄·Ì‰« √⁄Ê«„« ⁄œÌœ… Ê√“„‰… „œÌœ…. 
ﬂ· ⁄«„ Ê√‰ „ »ŒÌ— ????.
#RwizeSports
Twitter : RwizeSports
Twitch : RwizeSports
YouTube : RwizeSports https://t.co/IEYGmlnZe0";Rwiz E-Sports;RwizeSports;Mon May 06 01:12:12 +0000 2019;11;9;Undetermined;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;1;0
1126318901330161664;" „ › Õ »«» «·«‰÷„«„ ··⁄»… #fortnite ·„‰’… #PS4 Ê #PC
‘—Êÿ «·«‰÷„«„ ﬂ«„·… »«·’Ê—Â Ê‰ „‰Ï ·ﬂ„ «· Ê›Ìﬁ Ã„Ì⁄« .
«· ﬁœÌ„ ⁄‰ ÿ—Ìﬁ „—«”·… Õ”«» «·›—Ìﬁ 
#RwizeSports
Twitter : RwizeSports
YouTube : RwizeSports
 Twitch : RwizeSports
#fortnite #›Ê— ‰«Ì  #ps4share https://t.co/rtdNkMIYtR";Rwiz E-Sports;RwizeSports;Thu May 09 02:52:06 +0000 2019;14;6;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;7;0
1126652484234227713;"We are happy to introduce our new players @S6eefS , @Frzxn to #overwatch team
#RwizeSports
Twitter : RwizeSports
YouTube : RwizeSports
Twitch : RwizeSports https://t.co/QhNG7jHq2u";Rwiz E-Sports;RwizeSports;Fri May 10 00:57:39 +0000 2019;9;5;English;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;2;2
1126670238009974785;"‰—Õ» »«··«⁄» ÊÂÌ» »≈‰÷„«„Â «·Ï «·„‰Ÿ„… ﬂ‹’«‰⁄ „Õ ÊÏ 
Welcome To Rwiz E-Sports @w9hx 
#RwizeSports
Twitter : RwizeSports
Youtube : RwizeSports
Twitch : RwizeSports https://t.co/SUsUAQRlPa";Rwiz E-Sports;RwizeSports;Fri May 10 02:08:11 +0000 2019;8;4;Undetermined;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;1;1
1127240804760788992;" „ › Õ »«» «·«‰÷„«„ ··⁄»… #fortnite ·„‰’… #PS4 Ê #PC
‘—Êÿ «·«‰÷„«„ ﬂ«„·… »«·’Ê—Â Ê‰ „‰Ï ·ﬂ„ «· Ê›Ìﬁ Ã„Ì⁄« .
«· ﬁœÌ„ ⁄‰ ÿ—Ìﬁ „—«”·… Õ”«» «·›—Ìﬁ 
#RwizeSports
Twitter : RwizeSports
YouTube : RwizeSports
 Twitch : RwizeSports
#fortnite #›Ê— ‰«Ì  #ps4share https://t.co/rtdNkMIYtR";Rwiz E-Sports;RwizeSports;Sat May 11 15:55:25 +0000 2019;0;6;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;Photo;0;7;0
