Tweet Id;Text;Name;Screen Name;Created At;Favorites;Retweets;Language;Client;Tweet Type;Media Type;URLs;Hashtags;Mentions
950052512597409793;Â·« Ê«··Â Õ”«» ﬂ·«‰ Devilz «·—”„Ì ›Ì  ÊÌ — Ê»” Ê«··Â ??  «»⁄‰Ê‰« «‰” ﬁ—«„ »⁄œ ‰›” «·Õ”«» wearedevilz ??????;??Devilz eSports;WeAreDevilz;Sun Jan 07 17:12:24 +0000 2018;4;2;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;0
1025374628871589888;@ChallengeArena_ Ã«Â“Ì‰ «‰ ‘«¡ «··Â ??????;??Devilz eSports;WeAreDevilz;Fri Aug 03 13:35:36 +0000 2018;2;0;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Reply;;0;0;1
1026486516317659136;@ChallengeArena_ Ã«Â“Ì‰ ??????;??Devilz eSports;WeAreDevilz;Mon Aug 06 15:13:51 +0000 2018;0;0;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Reply;;0;0;1
1026570277357080577;@ChallengeArena_ ggs boys  @AimbotClub;??Devilz eSports;WeAreDevilz;Mon Aug 06 20:46:41 +0000 2018;1;1;English;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Reply;;0;0;2
1034860576449732609;«»ÿ«· ???????? https://t.co/yEmMSNoqXQ;??Devilz eSports;WeAreDevilz;Wed Aug 29 17:49:22 +0000 2018;0;0;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;1;0;0
1039540470576295936;"«··Â„ «—Õ„ ⁄»œﬂ Ê«∆· Ê«€›—·Â 
’œÌﬁ ”«»ﬁ ··ﬂ·«‰ https://t.co/TRNwF3yJzr";??Devilz eSports;WeAreDevilz;Tue Sep 11 15:45:36 +0000 2018;3;2;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;1;0;0
1063781595512037376;Ready for battle ?????? #overwatch #«Ê›—Ê« ‘ @DeathMarchXiii @Overwatch_ar @PlayOverwatch @ChallengeArena_ https://t.co/BwsqoiwPr3;??Devilz eSports;WeAreDevilz;Sat Nov 17 13:11:11 +0000 2018;4;3;English;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;2;4
1064185567104110592;›—Ìﬁ «Ê›—Ê« ‘ ·ﬂ·«‰ Devilz ??????#WeAreReady https://t.co/0kTPa3hx3S;??Devilz eSports;WeAreDevilz;Sun Nov 18 15:56:25 +0000 2018;11;8;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;1;0
1064185753297657862;›—Ìﬁ «Ê›—Ê« ‘ ·ﬂ·«‰ Devilz ??????#WeAreReady https://t.co/0kTPa3hx3S;??Devilz eSports;WeAreDevilz;Sun Nov 18 15:57:09 +0000 2018;0;8;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;Photo;0;1;0
1071475387320950792;"Ì›Ê“ ›—Ìﬁ œ›·“ »«·„»«—«Â «·«Ê·∆ ›Ì »ÿÊ·… Opendivision 
óóóóóóó-
#opendivision #overwatch @Overwatch_ar https://t.co/UivbwdKn80";??Devilz eSports;WeAreDevilz;Sat Dec 08 18:43:34 +0000 2018;11;9;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;2;1
