type;date;position;game;org;to_name;notes;prize;comments
ֳזהבַםה;14-Jun-19;דװַׁßֹ;Fifa19;;ָׁזßבזָ;ַבםזד ָÞםַֹֿ בַÚָהַ @Lmjre ם־זײ דהÊ־ָהַ דַַָׁÊו ָָ״זבֹ ַÝׁזַ׃םַ ײֿ דהÊ־ָ ַבßזםÊ ַבװÞםÞ .#N7ReSports ;;
ֳזהבַםה;23-May-19;ַבדׁßׂ ַבֳזב;COD;@PlayHera_MENA;;ַבֽדֿ בבו ֽÞÞ ÝׁםÞהַ בבÚָֹ #Blackops4 ָ״זבֹ @PlayHera_MENA בבדׁו ַבַֻהםו Úבל ַבÊזַבם ָÚֿ ÊÛבָו Úבל ÝׁםÞ @ASMReSports ָהÊםּו [4-1] Ggs ֶַּׂו ַבָ״זבֹ : 5000 ׁםַב הװßׁ  @dic_io Úבל ׁÚַםֹ ַבָ״זבֹ  #N7ReSports #LetsGoN7R ;;
ֳזהבַםה;22-May-19;Êֳוב;Fifa19;@TrailerGMS;ָׁזßבזָ;ּהזה ּהזה ּהזה - הֽׁ זַבׁםדזהÊַַֿ ַבÊַׁם־םֹ - ָבַהßז׃ זַבַָֻÊ ַָבױַֹֿׁ - ַÞַׁהז ז־׃ַֹׁ ַבױַֹֿׁ זַבÊֳוב Ýם ַ־ׁ ּזבֹ ָ״זבֹ דדÊÚֹ ָßב ַבÊÝַױםב זבד םץֽ׃ד ַבÊֳוב ֵבַ Ýם ַ־ׁ ּזבֹ דָׁזß בßב ַבדÊֳובםה זוַֿׁבß בדה זֿÚזהַ - הבÞַßד Ýם הױÝ ַבהוֶַם #ׁזםַב_ָׁזבםÞ;;
ֳזהבַםה;21-May-19;ַבדׁßׂ ַבַֻהם;Fifa19;@VUN_FC;ָׁזßבזָ;#ָ״זבֹ_ַב?ַםßהÛ_ַבׁדײַהםו ׁ׃דםַנ ßבַה הֽׁ ַבל הוֶַם ָ״זבֹ ַב?ַםßהÛ ַבׁדײַהםו To the final @N7ReSports -#ׁדײַה_ßׁםד #ָׁז_ßבזָ;;
ֳזהבַםה;17-May-19;דװַׁßֹ;Fifa19;@FIFA_PIK;ָׁזßבזָ;ßב ַבÊזÝםÞ בֳָ״ַבהַ @Store_Khaled1 ז @anc2n ז @FIFA_PIK    #ָׁז_ßבזָ #fifa19 #ForzN7R;;
ֳזהבַםה;11-May-19;דװַׁßֹ;COD;@NafsME;;ַ־ׁ Êֽֿםֻ בּֿזב ַבÊׁÊםָ דה ֿזׁם @NafsME  בבÚָֹ #blackops4 #N7Resports #LetsGoN7R ;;
ֳזהבַםה;11-May-19;הוֶַם;COD;@NafsME;;Êֳוב ÝׁםÞהַ בבÚָֹ #blackops4 בהוֶַם ָ״זבֹ ֿזׁם הַÝ׃ ַבßָׁל @NafsME ָÚֿ ÊÛבָו Úבל ÝׁםÞ @OshTekkWarriors 4-2 ַָׁ״ ַבדַַָׁו ßַדבו ;;
ֳזהבַםה;19-Apr-19;ַבדׁßׂ ַבֳזב;Fifa19;@here_legends;ָׁזßבזָ;ָ״ב ָ״זבֹ והַ ַבַ׃ַ״םׁ @N7ReSports ַבֶַֹּׂ ???? ׃Êזׁ  #ָׁזßבזָ #ָׁז_ßבזָ #ÝםÝַ_19 #ÝםÝַ19;;
ֳזהבַםה;14-Apr-19;ַבדׁßׂ ַבֳזב;Overwatch;@MEGLtv;;Winners of @MEGLtv Championship. After beating [ Rwiz eSports ]  [ 3 - 0 ] Congratulations for us;;
ֳזהבַםה;7-Apr-19;ÊױהםÝ;COD;@NafsME;;הוַםֹ ָ״זבֹ #ßזֿ_הַÝ׃ בבֳ׃ָזÚ ַבֳזב  ָהÊױַׁ ÝׁםÞ  @N7ReSports זַÚÊבֶַו ױַֹֿׁ ÊׁÊםָ ֿזׁם #ßזֿ_הַÝ׃ דװזַׁ ַבָ״ב Ýם ַבָ״זבֹ : N7R 3-0  ASMR , N7R 3-1 NE , N7R 3-2 TiMz , ַבÝ דָׁזß בבָ״ב  #ֿזׁם_הַÝ׃;;
ֳזהבַםה;4-Apr-19;ַבדׁßׂ ַבֳזב;COD;@PlayHera_MENA;;ַבֽדֿ בבו ֽÞÞ ÝׁםÞהַ בבÚָֹ #Blackops4 ָ״זבֹ @PlayHera_MENA ָÚֿ ÊÛבָו Úבל ÝׁםÞ @RevSolTeam ָהÊםּו [4-1] Ggs  ֶַּׂו ַבָ״זבֹ : 14000 ׁםַב הװßׁ @ShawarmerSA  Úבל ׁÚַםֹ ַבָ״זבו ßדַ הװßׁ  @OPNetworkgg  Úבל ַבÊÛ״םֹ ַבֶַׁÚו . ;;
ֳזהבַםה;4-Apr-19;ַבדׁßׂ ַבֳזב;Fortnite;@MEGLtv;;ֽÞÞ ÝׁםÞ N7Rw בבÚָֹ #ÝזׁÊהַםÊ ָ״זבֹ @MEGLtv  ָÚֿ ÊÛבָו Úבל ÝׁםÞ N7Rv ָÊÊםּו (17-14) ֶַּׂו ַבָ״זבו ??: 50$ ;;
;27-Mar-19;ַבַÚÊדַֿ;;@SAFEISKSA;;זבבו ַבֽדֿ¡ Êד ַÚÊדַֿ ַבÝׁםÞ ׁ׃דםַנ דה Þָב ַבֵÊַֽֿ ַב׃Úזֿם בבׁםַײַÊ ַבֵבßÊׁזהםֹ זַב׀והםֹ @SAFEISKSA זַבװßׁ דזױזב ֵבל: ױַָֽ ַב׃דז ַבדבßם ַבֳדםׁ Ýםױב ָה ָהֿׁ - ַבֳ׃Êַ׀ Êׁßם ַבÝזַׂה  @turkialfawzan - ַבֳ׃Êַ׀ ׃Úֿ ַב׃דַׁם  @Saad_Alsmari - ַבֳ׃Êַ׀ ÚַָֿבÚׂםׂ ַבֽדַֿה @AbdulazezHamdan;;
ֳזהבַםה;23-Mar-19;ַבדׁßׂ ַבֳזב;COD;@MEGLtv;;Winners of @MEGLtv Championship. After beating  @N7ReSports [N7Rc]  (3 - 2 ) Congratulations for us Prize 50$;;
ֳזהבַםה;22-Mar-19;ÊױהםÝ;COD;@NafsME;;ÊׁÊםָ ֿזׁם #ßזֿ_הַÝ׃ ַבֳ׃ָזÚ ַבַֻבֻ - ַ׃ָזÚ הַׁם Ýם ֿזׁם ßזֿ םÚזֿ ÝׁםÞ  @N7ReSports ז םßװׁ Úה ֳהםַָו זםהÞײ Úבל ױַֹֿׁ ַבÊׁÊםָ - םֳÊם ־בÝו דַָװֹׁ @POWReSports  ָÝַׁÞ ַב?? הÞ״ֹ - @RevSolTeam םַֽÝÙ Úבל דׁßׂו ßַֻבֻ ַבֿזׁם;;
ֳזהבַםה;22-Mar-19;ַבדׁßׂ ַבֳזב;R6S;HALLAHQ8;;Winners of R6S FOXLRAQ & HALLAHQ8 tournaments Congratulations for us The MONSTERS : - Mshklnyq8 , - Essaq8r2000x , - Toomi_q81 , - I3amer__ , - Shehaboo1;;
ֳזהבַםה;16-Mar-19;ַבדׁßׂ ַבֳזב;COD;@OPNetworkgg;;ַבֽדֿ בבו ֽÞÞ ÝׁםÞהַ בבÚָֹ #blackops4 ָ״זבֹ @OPNetworkgg ָÚֿ ÊÛבָו Úבל ÝׁםÞ @4DxeSports 3-1 Prize 1000$ ßדַ הזֿ ַה הװßׁ ַבÞֶַדםה Úבל ַבָ״זבֹ Úבל ַבÊהÙםד ַבַßֻׁ דה ֶַׁÚ  וַֿׁ בּדםÚ ַבÝׁÞ ַבדװַׁßו ;;
;1-Mar-19;ֵÚבַה;;;;׃בַד Úבםßד ם׃ׁ דהÙדÊהַ ֵÚבַהוַ Úה ֳÝÊÊַֽ דזÞÚוַ ַבׁ׃דם זÊÚֿ ו׀ו ֳזב ַב־״זַÊ בדזַßָֹ ַבÊ״זׁ ַבדזּזֿ Ýם ׃ַֹֽ ַבׁםַײו ַבַבßÊׁזהםֹ זו׀ו ֳזב ַב־״זַÊ בÊÞֿםד ַבֳÝײב זה׃Úֿ ָׂםַׁÊßד בבדזÞÚ דה ־בַב ַבַָׁ״ : N7RESPORTS.COM;;
ֳזהבַםה;16-Feb-19;הױÝ הוֶַם;;@AbdulazezHamdan;;Êֳוב ÝׁםÞהַ ָÚֿ דַָׁםַÊ דֻםׁו #N7R(4-2) @AGResports ײַָׁÊ ֱַּׂ Offline FC ( 7-1) בױַבֽ הֽׁ   ַָבÊזÝםÞ בַָ״ַבהַ Ýם הױÝ ַבהוֶַם װַßׁםה ֽ׃ה ַבÊהÙםד דה ַבֳ׃Êַ׀ ÚַָֿבÚׂםׂ @AbdulazezHamdan #MilanoProClub;;
ֳזהבַםה;14-Feb-19;ַבדׁßׂ ַבֳזב;Fifa19;@NafsME;ָׁזßבזָ;םֽÞÞ ÝׁםÞ N7R E-Sports  בבÚָֹ #fifa Ýם ״זׁ ַבÜ Pro Club ַבָ״זבֹ ַבַזבל בװוׁ Ýַָׁםׁ דה ÊהÙםד @NafsME ָÚֿ ÊÛבָו Úבל ÝׁםÞ @_ESPERANZAFC ָהÊםֹּ 2-1 דָׁזß בַָ״ַבהַ ֽÙ ַזÝׁ בּדםÚ ַבÝׁÞ ַבדװַׁßֹ;;
ֳזהבַםה;9-Feb-19;ַבדׁßׂ ַבֳזב;COD;@MEGLtv;;Winners of COD Variant Cup @megltv After beating  @4dxesports ( 3 - 0 )  Congratulations for us;;
