Tweet Id;Text;Name;Screen Name;Created At;Favorites;Retweets;Language;Client;Tweet Type;Media Type;URLs;Hashtags;Mentions
1003726186088927234; „«‘Ì« „⁄ —ƒÌ… «·œÊ·… Ê»œ⁄„ „‰ @gsaksa ·‹ #«·—Ì«÷…_«·«·ﬂ —Ê‰Ì… ﬁ——‰«  €ÌÌ— √”„ «·ﬂ·«‰ ≈·Ï @oF_eSports ··„‘«—ﬂ… ›Ì Ã„Ì⁄ «·«·⁄«» ÕÌÀ √‰ «·ﬂ·«‰ Ìÿ„Õ · „ÀÌ· «·„„·ﬂÂ «·⁄—»ÌÂ «·”⁄ÊœÌÂ „Õ·Ì« Ê⁄«·„Ì« ›Ì √€·» «·«·⁄«» Ê«··Â Ê·Ì «· Ê›Ìﬁ;Optimistic Force E-Sports;oF_eSports;Mon Jun 04 19:52:25 +0000 2018;5;4;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;1;2
1003727501858885634;ﬂ· «· Ê›Ìﬁ ·ﬂ„ Ì« «»ÿ«· ???????? @Rayyan_alfahmy https://t.co/imDcfRv9kE;Optimistic Force E-Sports;oF_eSports;Mon Jun 04 19:57:39 +0000 2018;0;1;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;;1;0;1
1004970458545098752;"√⁄·‰ «·« Õ«œ «·”⁄ÊœÌ ··—Ì«÷«  «·≈·ﬂ —Ê‰Ì… Ê«·–Â‰Ì… ⁄‰ #»ÿÊ·…_√Ê›—Ê« ‘_«·”⁄ÊœÌ…_«·≈ﬁ·Ì„Ì… »„Ã„Ê⁄ ÃÊ«∆“ ﬁœ—Â« 1,000,000 —Ì«· ""„·ÌÊ‰ —Ì«· ”⁄ÊœÌ"" .. ÿ—Ìﬁ… «· ”ÃÌ· ÊÃ„Ì⁄ «· ›«’Ì·  ÃœÊ‰Â« ›Ì «·Õ”«» «·—”„Ì @SAFEISKSA https://t.co/YsCPLafWZp";Optimistic Force E-Sports;oF_eSports;Fri Jun 08 06:16:43 +0000 2018;0;2;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;Photo;0;1;1
1004970697804976128;"?? ‘—Êÿ Êÿ—Ìﬁ… «· ”ÃÌ·

#»ÿÊ·…_√Ê›—Ê« ‘_«·”⁄ÊœÌ…_«·≈ﬁ·Ì„Ì…
#√Ê›—Ê« ‘ #Overwatch
#ÃÌ„—“ https://t.co/nxeVxwyNLL";Optimistic Force E-Sports;oF_eSports;Fri Jun 08 06:17:40 +0000 2018;0;21;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;Photo;0;4;0
1004970816382164992;"??? «·ÃœÊ· «·“„‰Ì «·ÃœÌœ ·‹ #»ÿÊ·…_√Ê›—Ê« ‘_«·”⁄ÊœÌ…_«·≈ﬁ·Ì„Ì…
#√Ê›—Ê« ‘ #ÃÌ„—“ #Overwatch https://t.co/srytclIfAZ";Optimistic Force E-Sports;oF_eSports;Fri Jun 08 06:18:08 +0000 2018;0;56;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;Photo;0;4;0
1004971007768186880;"√Ê·ÊÌ«  #«·“⁄Ì„   Ê«’·.. 
#«·Â·«· Ìœ‘‰ ›—Ìﬁ «·—Ì«÷«  «·≈·ﬂ —Ê‰Ì….

#«‰›ÊÃ—«›Ìﬂ_«·Â·«·
#«·Â·«·_··—Ì«÷« _«·«·ﬂ —Ê‰Ì…
#Alhilal_eSports https://t.co/ZBrHSxDsDP";Optimistic Force E-Sports;oF_eSports;Fri Jun 08 06:18:54 +0000 2018;0;2074;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;Photo;0;5;0
1005559992693510150;"„ﬁÿ⁄ ÃœÌœ »Õ”«» «·ﬂ·«‰ »‹ «·ÌÊ ÌÊ» ??
—«»ÿ «·„ﬁÿ⁄ »Ê’› „‘«ÂœÂ „„ ⁄Â ??
@oF_eSports https://t.co/oXqsM0HPcS";Optimistic Force E-Sports;oF_eSports;Sat Jun 09 21:19:19 +0000 2018;1;3;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Video;0;0;1
1005565602709364738;"@oF_eSports win the championship MLG , @ChAmpion.cod ????

#ll-THUG-LlFE-ll 
#SNiiKMOoDz
#ivFuison
#Krrft
#S_B_818 https://t.co/Cb8rsM77kQ";Optimistic Force E-Sports;oF_eSports;Sat Jun 09 21:41:36 +0000 2018;2;2;Welsh;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;5;2
1006708370223575040;"#«·„‰ Œ»_«·”⁄ÊœÌ ··—Ì«÷«  «·«·ﬂ —Ê‰Ì… ··⁄»… League Of Legends Ì €·» ⁄·Ï „‰ Œ»Ì «Ì—«‰ Ê ”Ê—Ì«. ÊÌ √Â· · ’›Ì«  »ÿÊ·… «·√·⁄«» «·¬”ÌÊÌ… «·„ﬁ«„… ›Ì «‰œÊ‰Ì”Ì«.
»«· Ê›Ìﬁ · #«·’ﬁÊ—_«·«·ﬂ —Ê‰Ì… ??????

#AsianGames2018 https://t.co/uNVcP0CBuM";Optimistic Force E-Sports;oF_eSports;Wed Jun 13 01:22:33 +0000 2018;0;129;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;Photo;0;3;0
1006814009549578240;"›—’ ﬂ · „ÀÌ· «·„„·ﬂ… «·⁄—»Ì… «·”⁄ÊœÌ… ›Ì Â–Â «·√·⁄«» ≈‰ ﬂ‰  „Õ —› ›ÌÂ«??
≈‰ ﬂ‰   „·ﬂ «·„Â«—«   ›÷· » ⁄»∆… ‰„Ê–Ã «·ÿ·» ⁄·Ï:
https://t.co/n52HMPHcg6
#ÃÌ„—“ https://t.co/0VLgcD9GuI";Optimistic Force E-Sports;oF_eSports;Wed Jun 13 08:22:20 +0000 2018;0;107;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;Photo;1;1;0
1015903015751114752;"» «—ÌŒ 12/7/2018 «·„Ê«›ﬁ «·Œ„Ì” ”Ì „ Õ–› «·›—ﬁ «·€Ì— „ﬂ „·… ( Pending ) 

https://t.co/bLvK2ADbur

 #»ÿÊ·…_√Ê›—Ê« ‘_«·”⁄ÊœÌ…_«·≈ﬁ·Ì„Ì…";Optimistic Force E-Sports;oF_eSports;Sun Jul 08 10:18:48 +0000 2018;0;32;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Retweet;;1;1;0
1016819274072121351;Welcome To @oF_eSports ?? https://t.co/HwsXArhohV;Optimistic Force E-Sports;oF_eSports;Tue Jul 10 22:59:41 +0000 2018;1;0;English;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;0;1
1017800587310747648;Welcome To @oF_eSports @iProVx ?? https://t.co/wjZScMfgME;Optimistic Force E-Sports;oF_eSports;Fri Jul 13 15:59:04 +0000 2018;1;0;English;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;0;2
1019756220675248130;"Welcome to @oF_eSports ??????
@bin_faisal https://t.co/7pN0xGipJz";Optimistic Force E-Sports;oF_eSports;Thu Jul 19 01:30:03 +0000 2018;2;2;English;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;0;2
1020320020985982976;Welcome to @oF_eSports ?????? https://t.co/ZMIAEbV5PE;Optimistic Force E-Sports;oF_eSports;Fri Jul 20 14:50:24 +0000 2018;2;0;English;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;0;1
1020321298382315520;Welcome to @oF_eSports ?????? https://t.co/z9ajNEaSG8;Optimistic Force E-Sports;oF_eSports;Fri Jul 20 14:55:28 +0000 2018;2;0;English;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;0;1
1024383967624081408;"Ã«∆“… √›÷· ·«⁄» ·‘Â—
 »Ì‰ «⁄÷«¡ «·ﬂ·«‰ ?? 
@oF_eSports https://t.co/rpWntQiV6Q";Optimistic Force E-Sports;oF_eSports;Tue Jul 31 19:59:04 +0000 2018;1;3;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;0;1
1028331039134035971;" √Â· «·›—Ìﬁ «·Ï œÊ— ‰’› «·‰Â«∆Ì 
›Ì ·⁄»… #Call_of_duty 
„‰ »ÿÊ·… ?? @plgbuzz

»⁄œ «‰ ’«—Â„ ⁄·Ï ›—Ìﬁ 
ENG Gaming (2-0) Round 1
Eviction eSports (2-0) Round 2 https://t.co/ezr0q5UM28";Optimistic Force E-Sports;oF_eSports;Sat Aug 11 17:23:19 +0000 2018;4;7;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;1;1
1030971249105821701;Welcome to @oF_eSports ?????? https://t.co/7KHiY9HdiU;Optimistic Force E-Sports;oF_eSports;Sun Aug 19 00:14:34 +0000 2018;0;2;English;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;0;1
1041065837757714432;"‰Êœ √‰ ‰»«—ﬂ ·√ŒÊ‰« ›Âœ Ê·Ã„Ì⁄ √⁄÷«¡ «·ﬂ·«‰ @oF_eSports 
·√Õ—«“Â «·»ÿÊ·Â «·›—œÌÂ «·Œ«’Â »„Êﬁ⁄ 
@MEGLtv ·‹ ·⁄»… #fifa18
 ··„—Â «·À«‰ÌÂ???? 
@loka7390 YouTube: oF SQUAD #oFeSports https://t.co/LHSq06I8On";Optimistic Force E-Sports;oF_eSports;Sat Sep 15 20:46:52 +0000 2018;2;1;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;2;3
1043949070673465349;··„—Â «·À«·ÀÂ Ê⁄·Ï «· Ê«·Ì ÌÕﬁﬁ «·»ÿ· ›Âœ »ÿÊ·… „Ìﬁ· ··⁄»… ›Ì›« Ê»Âﬂ–« ‰ﬂÊ‰ «‰ÂÌ‰« —’Ìœ‰« ·Â–« «·‘—Ìÿ Ê»√‰ Ÿ«— «·Ã“¡ «·ﬁ«œ„ · ﬁœÌ„ «·√›÷· ????. https://t.co/yMjRw1Avgr;Optimistic Force E-Sports;oF_eSports;Sun Sep 23 19:43:48 +0000 2018;4;4;Arabic;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;Photo;0;0;0
