org;game;type;id;start_date;end_date;teams;M/F;players;1st;2nd;3rd;4th;5th;6th;7th;8th;prize1;prize2;prize3;prize_total;currency;consule;sponsor;tournament_name;vs
HERA;COD BO 4;tourney;1;14-Mar-19;5-Apr-19;64;M;;N7ReSports;RevSolTeam;QLRGaming;POWReSports;;;;;12000;8000;5000;25000;SR;PS4;Shawarmer;Shawarmer Call of Duty Tournament;5vs5
HERA;Fortnite;tourney;2;15-Mar-19;18-Apr-19;256;M;;TheEvileSports;SquallEsports;SquallEsports;N7ReSports;;;;;12000;8000;5000;25000;SR;PS4;Shawarmer;Shawarmer FORTNITE Tournament;2vs2
HERA;Fifa19;tourney;3;16-Mar-19;22-Apr-19;1024;M;1024;POWReSports;@XahmedXz;amoaq;@yove1122;;;;;12000;8000;5000;25000;SR;PS4;MRSOOL;MRSOOL Football 19 Tournament;1vs1
HERA;Fortnite;tourney;4;16-May-19;27-May-19;32;M;;OshTekkWarriors;XSA Clan;WoRzeSports;Angel of Death;;;;;12000;8000;5000;25000;SR;XBOX;Xbox;Xbox-Fortnite;2vs2
HERA;Fortnite;tourney;5;14-May-19;28-May-19;256;M;;tsq3_;WoRzeSports;POWReSports;OshTekkWarriors;;;;;8000;5000;2000;15000;SR;PS4;Lean meals;Lean meals-Fortnite;2vs2
HERA;Overwatch;tourney;6;9-May-19;21-May-19;16;M;;OshTekkWarriors;ANELE Clap 2.0;Git Gud;;;;;;8000;5000;2000;15000;SR;PC;MRSOOL;Mrsool Overwatch MENA Commu;6vs6
HERA;COD BO 4;tourney;7;15-May-19;24-May-19;32;M;;N7ReSports;ASMReSports;WRcZ Squad;RGsx;;;;;5000;3000;2000;10000;SR;PS4;DIC;DIC-COD Black OPS;5vs5
HERA;Fifa19 ProClub;tourney;8;12-May-19;24-May-19;32;M;;WoLzeSports;AGReSports;TheEvileSports;2DEsports;;;;;8000;5000;2000;15000;SR;PS4;Zad;Zad-FIFA pro clubs;11vs11
HERA;Overwatch;league;9;23-May-19;30-May-19;8;F;;DonzEsports;4DxeSports;POWReSports;;;;;;6000;3000;1000;10000;SR;PS4;MRSOOL;Mrsool Overwatch Female Only C;6vs6
HERA;R6S;tourney;10;10-May-19;26-May-19;32;M;;OshTekkWarriors;Misfits;TheUltimates;heroes team;;;;;8000;5000;2000;15000;SR;PC;Golden Brown;Golden Brown R6S Tournament;5vs5
NAFS;COD BO 4;league;1;1-Jun-19;30-Jun-19;208;;;WRcZ;WoLzeSports;RevSolTeam;4DxeSports;DonzEsports;Redemption eSports;SG;Xi;;;;650;point;PS4;;œÊ—Ì CWL ° S&D ° ·‘Â— ÌÊ‰ÌÊ;
